Info,,,,LAZARUS,,,,,,,OFFICIAL,,,,,,,CHANGES,,,,,,,,,,,,,,,LEVEL - UP MOVES,,,,,,,,,,,,,,,,,,,,,,,,,,,EGG MOVES,,,,,,,,,,,,,,,,,,TM/HM MOVES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOVE TUTOR MOVES,,,,,,,,,,,,,,,,,,,,,,,,
Name,#,Type,,HP,ATK,DEF,SPA,SPD,SPE,BST,HP,ATK,DEF,SPA,SPD,SPE,BST,HP,ATK,DEF,SPA,SPD,SPE,BST,Ability 1,Ability 2,Hidden Ability,Evolution,Held Item,Location,Egg Groups,,Move 1,Move 2,Move 3,Move 4,Move 5,Move 6,Move 7,Move 8,Move 9,Move 10,Move 11,Move 12,Move 13,Move 14,Move 15,Move 16,Move 17,Move 18,Move 19,Move 20,Move 21,Move 22,Move 23,Move 23,Move 24,Move 25,Move 26,Move 1,Move 2,Move 3,Move 4,Move 5,Move 6,Move 7,Move 8,Move 9,Move 10,Move 11,Move 12,Move 13,Move 14,Move 15,Move 16,Move 17,Move 18,Move 1,Move 2,Move 3,Move 4,Move 5,Move 6,Move 7,Move 8,Move 9,Move 10,Move 11,Move 12,Move 13,Move 14,Move 15,Move 16,Move 17,Move 18,Move 19,Move 20,Move 21,Move 22,Move 23,Move 24,Move 25,Move 26,Move 27,Move 28,Move 29,Move 30,Move 31,Move 32,Move 33,Move 34,Move 35,Move 36,Move 37,Move 38,Move 39,Move 40,Move 41,Move 1,Move 2,Move 3,Move 4,Move 5,Move 6,Move 7,Move 8,Move 9,Move 10,Move 11,Move 12,Move 13,Move 14,Move 15,Move 16,Move 17,Move 18,Move 19,Move 20,Move 21,Move 22,Move 23,Move 24,Move 25
Muk,72,Poison,,110,105,75,65,100,50,505,105,105,75,65,100,50,500,5,0,0,0,0,0,5,Stench,Sticky Hold,Poison Touch,Lv. 34,,Areios Hideout (wild),Amorphous,Amorphous,"1, Pound","1, Poison Gas","4, Harden","7, Mud-Slap","12, Disable","15, Sludge","18, Mud Bomb","21, Minimize","26, Poison Fang","29, Sludge Bomb","32, Fire Punch","Evo, Venom Drench","37, Screech","40, Gunk Shot","46, Acid Armor","52, Belch","57, Memento",,,,,,,,,,,Haze,Mean Look,Lick,Imprison,Curse,Shadow Punch,Shadow Sneak,Stockpile,Swallow,Spit Up,Scary Face,Acid Spray,Power-Up Punch,,,,,,TM01 - Focus Punch,TM06 - Toxic,TM11 - Sunny Day,TM12 - Taunt,TM15 - Hyper Beam,TM17 - Protect,TM18 - Rain Dance,TM19 - Giga Drain,TM24 - Thunderbolt,TM25 - Thunder,TM28 - Dig,TM30 - Shadow Ball,TM31 - Brick Break,TM32 - Double Team,TM34 - Shock Wave,TM35 - Flamethrower,TM36 - Sludge Bomb,TM37 - Sandstorm,TM38 - Fire Blast,TM39 - Rock Tomb,TM41 - Torment,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM46 - Thief,HM04 - Strength,HM06 - Rock Smash,,,,,,,,,,,,,,,Body Slam,Dynamic Punch,Endure,Explosion,Fire Punch,Ice Punch,Metronome,Mud-Slap,Rock Slide,Sleep Talk,Snore,Swagger,Swift,Thunder Punch,,,,,,,,,,,
Wurmple,73,Bug,,45,45,35,20,30,20,195,45,45,35,20,30,20,195,0,0,0,0,0,0,0,Shield Dust,,Run Away,,,"Jusmail Town, Riverwalk Trail S (wild)",Bug,Bug,"1, Tackle","1, String Shot","5, Poison Sting","15, Bug Bite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,,,,,,,,,,,,,,,,,,,,,,,,
Silcoon,74,Bug,,50,35,55,25,25,15,205,50,35,55,25,25,15,205,0,0,0,0,0,0,0,Shed Skin,,,Lv. 7,,Riverwalk Trail S (wild),Bug,Bug,"Evo, Harden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beautifly,75,Bug,Flying,60,50,60,115,70,85,440,60,70,50,100,50,65,395,0,-20,10,15,20,20,45,Swarm,,Rivalry,Lv. 10,,Silcoon (evolve),Bug,Bug,"Evo, Gust","12, Absorb","15, Stun Spore","17, Morning Sun","20, Air Cutter","22, Mega Drain","25, Silver Wind","27, Attract","30, Whirlwind","32, Giga Drain","35, Bug Buzz","37, Rage","40, Quiver Dance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TM06 - Toxic,TM11 - Sunny Day,TM15 - Hyper Beam,TM17 - Protect,TM19 - Giga Drain,TM20 - Safeguard,TM22 - Solar Beam,TM29 - Psychic,TM30 - Shadow Ball,TM32 - Double Team,TM40 - Aerial Ace,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM60 - U-Turn,HM05 - Flash,,,,,,,,,,,,,,,,,,,,,,,,,Double-Edge,Endure,Sleep Talk,Snore,Swagger,Swift,,,,,,,,,,,,,,,,,,,
Cascoon,76,Bug,,50,35,55,25,25,15,205,50,35,55,25,25,15,205,0,0,0,0,0,0,0,Shed Skin,,,Lv. 7,,Riverwalk Trail S (wild),Bug,Bug,"Evo, Harden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dustox,77,Bug,Poison,80,65,90,50,90,65,440,60,50,70,50,90,65,385,20,15,20,0,0,0,55,Unaware,,Compound Eyes,Lv. 10,,Cascoon (evolve),Bug,Bug,"Evo, Gust","12, Confusion","15, Poison Powder","17, Moonlight","20, Venoshock","22, Psybeam","25, U-turn","27, Light Screen","30, Whirlwind","32, Toxic","35, Bug Buzz","37, Protect","40, Quiver Dance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TM06 - Toxic,TM11 - Sunny Day,TM15 - Hyper Beam,TM16 - Light Screen,TM17 - Protect,TM19 - Giga Drain,TM22 - Solar Beam,TM29 - Psychic,TM30 - Shadow Ball,TM32 - Double Team,TM36 - Sludge Bomb,TM40 - Aerial Ace,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM60 - U-Turn,HM05 - Flash,,,,,,,,,,,,,,,,,,,,,,,,Double-Edge,Endure,Sleep Talk,Snore,Swagger,Swift,,,,,,,,,,,,,,,,,,,
Tropius,78,Grass,Flying,109,93,91,93,87,42,515,99,68,83,72,87,51,460,10,25,8,21,0,-9,55,Thick Fat,Solar Power,Harvest,,,"Riverwalk Trail S, Port Pello (wild)",Monster,Grass,"1, Leaf Storm","1, Body Slam","1, Dragon Dance","1, Leer","1, Gust","1, Growth","1, Razor Leaf","6, Sweet Scent","10, Stomp","16, Magical Leaf","19, Headbutt","21, Whirlwind","24, Dragon Breath","26, Leaf Tornado","30, Natural Gift","32, Air Slash","35, Flower Trick","39, Pollen Puff","41, Hyper Voice","43, Bestow","46, Quiver Dance","48, Synthesis","51, Dragon Pulse","54, Solar Beam","57, Leaf Storm",,,Headbutt,Slam,Razor Wind,Leech Seed,Nature Power,Leaf Storm,Synthesis,Curse,Leaf Blade,Dragon Dance,Bullet Seed,Natural Gift,Dragon Hammer,,,,,,TM04 - Calm Mind,TM05 - Roar,TM06 - Toxic,TM09 - Bullet Seed,TM11 - Sunny Day,TM15 - Hyper Beam,TM17 - Protect,TM18 - Rain Dance,TM19 - Giga Drain,TM20 - Safeguard,TM22 - Solar Beam,TM26 - Earthquake,TM32 - Double Team,TM40 - Aerial Ace,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM47 - Steel Wing,TM56 - Stomping Tantrum,TM60 - U-Turn,HM01 - Cut,HM02 - Fly,HM04 - Strength,HM05 - Flash,HM06 - Rock Smash,,,,,,,,,,,,,,,,,Body Slam,Double-Edge,Endure,Fury Cutter,Mud-Slap,Sleep Talk,Snore,Swagger,Swords Dance,,,,,,,,,,,,,,,,
Ralts ,79,Psychic,Fairy,28,25,25,45,35,40,198,28,25,25,45,35,40,198,0,0,0,0,0,0,0,Synchronize,Trace,Telepathy,,,Jusmail Town (wild),Human-Like,Amorphous,"1, Growl","4, Confusion","6, Double Team","9, Teleport","11, Disarming Voice","14, Lucky Chant","17, Magical Leaf","19, Heal Pulse","22, Draining Kiss","24, Calm Mind","27, Psychic","29, Imprison","32, Future Sight","34, Charm","37, Hypnosis","39, Dream Eater","42, Stored Power",,,,,,,,,,,Disable,Mean Look,Memento,Destiny Bond,Grudge,Shadow Sneak,Confuse Ray,Encore,Synchronoise,Skill Swap,Misty Terrain,Ally Switch,,,,,,,TM04 - Calm Mind,TM06 - Toxic,TM11 - Sunny Day,TM12 - Taunt,TM13 - Ice Beam,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM20 - Safeguard,TM24 - Thunderbolt,TM29 - Psychic,TM30 - Shadow Ball,TM32 - Double Team,TM33 - Reflect,TM34 - Shock Wave,TM41 - Torment,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM48 - Skill Swap,TM49 - Snatch,TM57 - Dazzling Gleam,HM05 - Flash,,,,,,,,,,,,,,,,,,Body Slam,Defense Curl,Double-Edge,Dream Eater,Endure,Fire Punch,Ice Punch,Icy Wind,Mega Kick,Mega Punch,Metronome,Mud-Slap,Psych Up,Sleep Talk,Snore,Swagger,Swift,Thunder Punch,Thunder Wave,,,,,,
Kirlia,80,Psychic,Fairy,38,35,35,65,55,50,278,38,35,35,65,55,50,278,0,0,0,0,0,0,0,Synchronize,Trace,Telepathy,Lv. 20,,Corrin Crossing (wild),Human-Like,Amorphous,"1, Growl","4, Confusion","6, Double Team","9, Teleport","11, Disarming Voice","14, Lucky Chant","17, Magical Leaf","19, Heal Pulse","23, Draining Kiss","26, Calm Mind","29, Shock Wave","30, Psychic","33, Imprison","37, Future Sight","40, Charm","44, Hypnosis","47, Dream Eater","51, Stored Power",,,,,,,,,,Disable,Mean Look,Memento,Destiny Bond,Grudge,Shadow Sneak,Confuse Ray,Encore,Synchronoise,Skill Swap,Misty Terrain,Ally Switch,,,,,,,TM04 - Calm Mind,TM06 - Toxic,TM11 - Sunny Day,TM12 - Taunt,TM13 - Ice Beam,TM15 - Hyper Beam,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM20 - Safeguard,TM24 - Thunderbolt,TM29 - Psychic,TM30 - Shadow Ball,TM32 - Double Team,TM33 - Reflect,TM34 - Shock Wave,TM41 - Torment,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM48 - Skill Swap,TM49 - Snatch,TM57 - Dazzling Gleam,HM05 - Flash,,,,,,,,,,,,,,,,,Body Slam,Defense Curl,Double-Edge,Dream Eater,Endure,Fire Punch,Ice Punch,Icy Wind,Mega Kick,Mega Punch,Metronome,Mud-Slap,Psych Up,Sleep Talk,Snore,Swagger,Swift,Thunder Punch,Thunder Wave,,,,,,
Gardevoir,81,Psychic,Fairy,68,65,65,125,115,80,518,68,65,65,125,115,80,518,0,0,0,0,0,0,0,Synchronize,Trace,Telepathy,Lv. 30,,Kirlia (evolve),Human-Like,Amorphous,"1, Moonblast","1, Stored Power","1, Misty Terrain","1, Healing Wish","1, Growl","4, Confusion","6, Double Team","9, Teleport","11, Disarming Voice","14, Wish","17, Magical Leaf","19, Heal Pulse","23, Draining Kiss","26, Calm Mind","31, Psychic","35, Imprison","40, Future Sight","44, Captivate","49, Hypnosis","53, Dream Eater","58, Stored Power","62, Moonblast",,,,,,Disable,Mean Look,Memento,Destiny Bond,Grudge,Shadow Sneak,Confuse Ray,Encore,Synchronoise,Skill Swap,Misty Terrain,Ally Switch,,,,,,,TM04 - Calm Mind,TM06 - Toxic,TM11 - Sunny Day,TM12 - Taunt,TM13 - Ice Beam,TM15 - Hyper Beam,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM20 - Safeguard,TM24 - Thunderbolt,TM29 - Psychic,TM30 - Shadow Ball,TM32 - Double Team,TM33 - Reflect,TM34 - Shock Wave,TM41 - Torment,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM48 - Skill Swap,TM49 - Snatch,TM57 - Dazzling Gleam,HM05 - Flash,,,,,,,,,,,,,,,,,Body Slam,Defense Curl,Double-Edge,Dream Eater,Endure,Fire Punch,Ice Punch,Icy Wind,Mega Kick,Mega Punch,Metronome,Mud-Slap,Psych Up,Sleep Talk,Snore,Swagger,Swift,Thunder Punch,Thunder Wave,,,,,,
Gallade,82,Psychic,Fighting,68,125,65,65,115,80,518,68,125,65,65,115,80,518,0,0,0,0,0,0,0,Steadfast,Sharpness,Justified,Dawn Stone,,Kirlia (evolve),Human-Like,Amorphous,"1, Slash","1, Stored Power","1, Close Combat","1, Leaf Blade","1, Night Slash","1, Leer","4, Confusion","6, Double Team","9, Teleport","11, Quick Guard","14, Fury Cutter","17, Aerial Ace","19, Heal Pulse","Evo, Sky Uppercut","23, Wide Guard","26, Swords Dance","31, Psycho Cut","35, Helping Hand","40, Feint","44, False Swipe","49, Protect","53, Close Combat","58, Stored Power",,,,,Disable,Mean Look,Memento,Destiny Bond,Grudge,Shadow Sneak,Confuse Ray,Encore,Synchronoise,Skill Swap,Misty Terrain,Ally Switch,,,,,,,TM01 - Focus Punch,TM04 - Calm Mind,TM06 - Toxic,TM08 - Bulk Up,TM11 - Sunny Day,TM12 - Taunt,TM13 - Ice Beam,TM15 - Hyper Beam,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM20 - Safeguard,TM24 - Thunderbolt,TM26 - Earthquake,TM29 - Psychic,TM30 - Shadow Ball,TM31 - Brick Break,TM32 - Double Team,TM33 - Reflect,TM34 - Shock Wave,TM39 - Rock Tomb,TM40 - Aerial Ace,TM41 - Torment,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM48 - Skill Swap,TM49 - Snatch,TM57 - Dazzling Gleam,HM01 - Cut,HM04 - Strength,HM05 - Flash,HM06 - Rock Smash,,,,,,,,Body Slam,Dream Eater,Endure,Fire Punch,Fury Cutter,Ice Punch,Icy Wind,Mega Kick,Mega Punch,Metronome,Mud-Slap,Psych Up,Rock Slide,Sleep Talk,Snore,Swagger,Swift,Swords Dance,Thunder Punch,Thunder Wave,,,,,
Eevee,83,Normal,,55,55,50,45,65,55,325,55,55,50,45,65,55,325,0,0,0,0,0,0,0,Run Away,Adaptability,Anticipation,,,Jusmail Town (wild),Field,Field,"1, Covet","1, Helping Hand","1, Growl","1, Tackle","1, Tail Whip","5, Sand Attack","9, Baby-Doll Eyes","13, Quick Attack","17, Bite","17, Swift","20, Refresh","25, Take Down","29, Charm","33, Baton Pass","37, Double-Edge","41, Last Resort","45, Trump Card",,,,,,,,,,,Charm,Flail,Endure,Curse,Tickle,Wish,Yawn,Fake Tears,Covet,Detect,Natural Gift,Stored Power,Synchronoise,Captivate,,,,,TM04 - Calm Mind,TM05 - Roar,TM06 - Toxic,TM11 - Sunny Day,TM17 - Protect,TM18 - Rain Dance,TM23 - Iron Tail,TM28 - Dig,TM30 - Shadow Ball,TM32 - Double Team,TM33 - Reflect,TM42 - Facade,TM44 - Rest,TM45 - Attract,,,,,,,,,,,,,,,,,,,,,,,,,,,,Body Slam,Double-Edge,Endure,Mud-Slap,Sleep Talk,Snore,Swagger,Swift,,,,,,,,,,,,,,,,,
Vaporeon,84,Water,,135,65,65,110,95,65,535,130,65,60,110,95,65,525,5,0,5,0,0,0,10,Water Absorb,Adaptability,Hydration,Water Stone,,Eevee (evolve),Field,Field,"Evo, Water Gun","1, Helping Hand","1, Tackle","1, Tail Whip","5, Sand Attack","9, Baby-Doll Eyes","13, Quick Attack","17, Water Pulse","20, Aurora Beam","25, Aqua Ring","29, Acid Armor","31, Draining Kiss","33, Haze","37, Muddy Water","39, Calm Mind","41, Last Resort","45, Hydro Pump",,,,,,,,,,,Charm,Flail,Endure,Curse,Tickle,Wish,Yawn,Fake Tears,Covet,Detect,Natural Gift,Stored Power,Synchronoise,Captivate,,,,,TM03 - Water Pulse,TM04 - Calm Mind,TM05 - Roar,TM06 - Toxic,TM07 - Hail,TM11 - Sunny Day,TM13 - Ice Beam,TM14 - Blizzard,TM15 - Hyper Beam,TM17 - Protect,TM18 - Rain Dance,TM23 - Iron Tail,TM28 - Dig,TM30 - Shadow Ball,TM32 - Double Team,TM33 - Reflect,TM42 - Facade,TM44 - Rest,TM45 - Attract,HM03 - Surf,HM04 - Strength,HM06 - Rock Smash,HM07 - Waterfall,HM08 - Dive,,,,,,,,,,,,,,,,,,Body Slam,Double-Edge,Endure,Icy Wind,Mud-Slap,Sleep Talk,Snore,Swagger,Swift,,,,,,,,,,,,,,,,
Jolteon,85,Electric,,65,95,65,115,65,130,535,65,65,60,110,95,130,525,0,30,5,5,-30,0,10,Volt Absorb,Adaptability,Strong Legs,Thunder Stone,,Eevee (evolve),Field,Field,"Evo, Thundershock","1, Helping Hand","1, Tackle","1, Tail Whip","5, Sand Attack","9, Baby-Doll Eyes","13, Quick Attack","17, Double Kick","20, Thunder Fang","25, Pin Missile","29, Agility","31, Triple Kick","33, Thunder Wave","37, Discharge","41, Trop Kick","44 , Victory Dance","47, Extreme Speed","50, Thunder",,,,,,,,,,Charm,Flail,Endure,Curse,Tickle,Wish,Yawn,Fake Tears,Covet,Detect,Natural Gift,Stored Power,Synchronoise,Captivate,,,,,TM04 - Calm Mind,TM05 - Roar,TM06 - Toxic,TM11 - Sunny Day,TM15 - Hyper Beam,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM23 - Iron Tail,TM24 - Thunderbolt,TM25 - Thunder,TM28 - Dig,TM30 - Shadow Ball,TM32 - Double Team,TM33 - Reflect,TM34 - Shock Wave,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM52 - Thunder Fang,TM59 - Volt Switch,HM04 - Strength,HM05 - Flash,HM06 - Rock Smash,,,,,,,,,,,,,,,,,,Body Slam,Double-Edge,Endure,Mud-Slap,Sleep Talk,Snore,Swagger,Swift,Thunder Wave,,,,,,,,,,,,,,,,
Flareon,86,Fire,,75,130,60,95,110,65,535,65,130,60,95,110,65,525,10,0,0,0,0,0,10,Flash Fire,Adaptability,Strong Legs,Fire Stone,,Eevee (evolve),Field,Field,"Evo, Ember","1, Helping Hand","1, Tackle","1, Tail Whip","5, Sand Attack","9, Baby-Doll Eyes","13, Quick Attack","17, Bite","20, Fire Fang","25, Fire Spin","29, Scary Face","31, Trop Kick","33, Blaze Kick","37, Lava Plume","41, Thunderous Kick","45, Triple Kick","48, Flare Blitz",,,,,,,,,,,Charm,Flail,Endure,Curse,Tickle,Wish,Yawn,Fake Tears,Covet,Detect,Natural Gift,Stored Power,Synchronoise,Captivate,,,,,TM04 - Calm Mind,TM05 - Roar,TM06 - Toxic,TM11 - Sunny Day,TM15 - Hyper Beam,TM17 - Protect,TM18 - Rain Dance,TM23 - Iron Tail,TM28 - Dig,TM30 - Shadow Ball,TM32 - Double Team,TM33 - Reflect,TM35 - Flamethrower,TM38 - Fire Blast,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM50 - Overheat,TM54 - Fire Fang,HM04 - Strength,HM06 - Rock Smash,,,,,,,,,,,,,,,,,,,,,Body Slam,Double-Edge,Endure,Mud-Slap,Sleep Talk,Snore,Swagger,Swift,,,,,,,,,,,,,,,,,
Espeon,87,Psychic,,75,65,60,130,95,110,535,65,65,60,130,95,110,525,10,0,0,0,0,0,10,Synchronize,Adaptability,Magic Bounce,Sun Stone,,Eevee (evolve),Field,Field,"Evo, Confusion","1, Helping Hand","1, Tackle","1, Tail Whip","5, Sand Attack","9, Baby-Doll Eyes","13, Quick Attack","17, Swift","20, Psybeam","25, Future Sight","29, Psych Up","31, Mysical Fire","33, Morning Sun","35, Psychic","38, Solar Beam","41, Last Resort","45, Power Swap",,,,,,,,,,,Charm,Flail,Endure,Curse,Tickle,Wish,Yawn,Fake Tears,Covet,Detect,Natural Gift,Stored Power,Synchronoise,Captivate,,,,,TM04 - Calm Mind,TM05 - Roar,TM06 - Toxic,TM11 - Sunny Day,TM15 - Hyper Beam,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM23 - Iron Tail,TM28 - Dig,TM29 - Psychic,TM30 - Shadow Ball,TM32 - Double Team,TM33 - Reflect,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM48 - Skill Swap,TM55 - Psychic Fangs,TM57 - Dazzling Gleam,HM01 - Cut,HM05 - Flash,HM06 - Rock Smash,,,,,,,,,,,,,,,,,,,Body Slam,Double-Edge,Dream Eater,Endure,Mud-Slap,Psych Up,Sleep Talk,Snore,Swagger,Swift,Thunder Wave,,,,,,,,,,,,,,
Umbreon,88,Dark,,95,70,110,65,130,65,535,95,65,110,60,130,65,525,0,5,0,5,0,0,10,Synchronize,Adaptability,Inner Focus,Moon Stone,,Eevee (evolve),Field,Field,"Evo, Pursuit","1, Helping Hand","1, Tackle","1, Tail Whip","5, Sand Attack","9, Baby-Doll Eyes","13, Quick Attack","17, Confuse Ray","20, Feint Attack","25, Assurance","29, Screech","31, Frost Breath","33, Moonlight","35, Mean Look","38, Foul Play","41, Last Resort","45, Guard Swap",,,,,,,,,,,Charm,Flail,Endure,Curse,Tickle,Wish,Yawn,Fake Tears,Covet,Detect,Natural Gift,Stored Power,Synchronoise,Captivate,,,,,TM04 - Calm Mind,TM05 - Roar,TM06 - Toxic,TM11 - Sunny Day,TM12 - Taunt,TM15 - Hyper Beam,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM23 - Iron Tail,TM28 - Dig,TM29 - Psychic,TM30 - Shadow Ball,TM32 - Double Team,TM33 - Reflect,TM41 - Torment,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM48 - Skill Swap,TM49 - Snatch,HM01 - Cut,HM05 - Flash,HM06 - Rock Smash,,,,,,,,,,,,,,,,,Body Slam,Double-Edge,Dream Eater,Endure,Mud-Slap,Psych Up,Sleep Talk,Snore,Swagger,Swift,Thunder Wave,,,,,,,,,,,,,,
Leafeon,89,Grass,,70,110,130,60,70,95,535,65,110,130,60,65,95,525,5,0,0,0,5,0,10,Leaf Guard,Adaptability,Chlorophyll,Leaf Stone,,Eevee (evolve),Field,Field,"Evo, Razor Leaf","1, Helping Hand","1, Tackle","1, Tail Whip","5, Sand Attack","9, Baby-Doll Eyes","13, Quick Attack","17, Grass Whistle","20, Magical Leaf","25, Giga Drain","29, Swords Dance","31, Thunderous Kick","33, Synthesis","37, Sunny Day","41, Last Resort","45, Leaf Blade",,,,,,,,,,,,Charm,Flail,Endure,Curse,Tickle,Wish,Yawn,Fake Tears,Covet,Detect,Natural Gift,Stored Power,Synchronoise,Captivate,,,,,TM04 - Calm Mind,TM05 - Roar,TM06 - Toxic,TM09 - Bullet Seed,TM11 - Sunny Day,TM15 - Hyper Beam,TM17 - Protect,TM18 - Rain Dance,TM19 - Giga Drain,TM22 - Solar Beam,TM23 - Iron Tail,TM28 - Dig,TM30 - Shadow Ball,TM32 - Double Team,TM40 - Aerial Ace,TM42 - Facade,TM44 - Rest,TM45 - Attract,HM04 - Strength,HM05 - Flash,HM06 - Rock Smash,,,,,,,,,,,,,,,,,,,,,Body Slam,Double-Edge,Endure,Fury Cutter,Mud-Slap,Sleep Talk,Snore,Swagger,Swift,Swords Dance,,,,,,,,,,,,,,,
Glaceon,90,Ice,,65,60,110,130,95,75,535,65,60,110,130,95,65,525,0,0,0,0,0,10,10,Snow Cloak,Adaptability,Ice Body,Ice Stone,,Eevee (evolve),Field,Field,"Evo, Icy Wind","1, Helping Hand","1, Tackle","1, Tail Whip","5, Sand Attack","9, Baby-Doll Eyes","13, Quick Attack","17, Bite","20, Ice Fang","25, Ice Shard","29, Barrier","31, Chilling Water","33, Mirror Coat","37, Hail","41, Last Resort","45, Blizzard",,,,,,,,,,,,Charm,Flail,Endure,Curse,Tickle,Wish,Yawn,Fake Tears,Covet,Detect,Natural Gift,Stored Power,Synchronoise,Captivate,,,,,TM03 - Water Pulse,TM04 - Calm Mind,TM05 - Roar,TM06 - Toxic,TM07 - Hail,TM11 - Sunny Day,TM13 - Ice Beam,TM14 - Blizzard,TM15 - Hyper Beam,TM17 - Protect,TM18 - Rain Dance,TM23 - Iron Tail,TM28 - Dig,TM30 - Shadow Ball,TM32 - Double Team,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM53 - Ice Fang,HM04 - Strength,HM06 - Rock Smash,,,,,,,,,,,,,,,,,,,,,Body Slam,Double-Edge,Endure,Icy Wind,Mud-Slap,Sleep Talk,Snore,Swagger,Swift,,,,,,,,,,,,,,,,
Sylveon,91,Fairy,,105,65,65,110,130,60,535,95,65,65,110,130,60,525,10,0,0,0,0,0,10,Cute Charm,Adaptability,Pixilate,Shiny Stone,,Eevee (evolve),Field,Field,"Evo, Fairy Wind","1, Disarming Voice","1, Helping Hand","1, Tackle","1, Tail Whip","5, Sand Attack","9, Baby-Doll Eyes","13, Quick Attack","17, Swift","20, Draining Kiss","25, Skill Swap","29, Misty Terrain","31, Apple Acid","33, Light Screen","37, Moonblast","41, Last Resort","45, Psych Up",,,,,,,,,,,Charm,Flail,Endure,Curse,Tickle,Wish,Yawn,Fake Tears,Covet,Detect,Natural Gift,Stored Power,Synchronoise,Captivate,,,,,TM04 - Calm Mind,TM05 - Roar,TM06 - Toxic,TM11 - Sunny Day,TM15 - Hyper Beam,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM20 - Safeguard,TM23 - Iron Tail,TM28 - Dig,TM29 - Psychic,TM30 - Shadow Ball,TM32 - Double Team,TM33 - Reflect,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM48 - Skill Swap,TM57 - Dazzling Gleam,TM58 - Play Rough,HM01 - Cut,HM05 - Flash,HM06 - Rock Smash,,,,,,,,,,,,,,,,,,Body Slam,Double-Edge,Endure,Mud-Slap,Psych Up,Sleep Talk,Snore,Swagger,Swift,,,,,,,,,,,,,,,,
Skiddo,92,Grass,,76,65,53,62,57,52,365,66,65,48,62,57,52,350,10,0,5,0,0,0,15,Sap Sipper,Grass Pelt,Seed Sower,,,"Jusmail Town, Acrisia Mountains Peak (wild)",Field,Field,"1, Tackle","1, Growth","7, Vine Whip","9, Tail Whip","12, Leech Seed","13, Razor Leaf","16, Worry Seed","20, Synthesis","22, Stomp","26, Bulldoze","30, Seed Bomb","34, Bulk Up","38, Double-Edge","42, Horn Leech","45, Leaf Blade","50, Milk Drink","53, Rock Slide","57, Megahorn",,,,,,,,,,Defense Curl,Rollout,Milk Drink,Grassy Terrain,,,,,,,,,,,,,,,TM05 - Roar,TM06 - Toxic,TM08 - Bulk Up,TM09 - Bullet Seed,TM11 - Sunny Day,TM17 - Protect,TM18 - Rain Dance,TM19 - Giga Drain,TM22 - Solar Beam,TM23 - Iron Tail,TM28 - Dig,TM31 - Brick Break,TM32 - Double Team,TM42 - Facade,TM44 - Rest,TM45 - Attract,HM03 - Surf,HM04 - Strength,HM06 - Rock Smash,,,,,,,,,,,,,,,,,,,,,,,Body Slam,Defense Curl,Double-Edge,Endure,Mud-Slap,Rock Slide,Rollout,Sleep Talk,Snore,Swagger,,,,,,,,,,,,,,,
